0,1,2,3,4,5,6,7,8,9
HMOL,MGWI,WSIG,NDES,HPUA,WKRA,PGNC,XQUN,ACHF,
OFIS,FBRI,MMIS,WAEN,OMTW,XSLB,WPDW,JJAC,CMID,
WCAS,NASH,WKID,HSCH,ICOR,MWEG,TCHI,YIRO,COWE,
WBRO,WRAS,AMTL,AKIA,OBRO,CCRZ,AMOT,CDNK,GATH,
AWAR,OCED,IBAI,CLAU,CCAT,OSUG,AFLG,WLOG,XSEV,
CCS2,OCAS,CBSR,ASTK,MLEO,WWLP,OBAL,WLAR,CMOU,
MNWL,TPSF,CKET,CJUL,MBOO,CSDU,CLAH,WTFL,NKYL,
CLIN,CPNC,ABAN,VESS,MMIO,CFRI,NREB,AFAI,NBUF,
OBRK,MKLL,NBUS,APED,VUPP,CORE,MTOM,TGAI,MEKH,
TLRG,CCAB,PBLA,WMIL,NWRR,CWAW,MSSC,VKIN,ODEV,
WGOL,FNAV,NDEV,CBAL,CCRR,TIND,CHDV,NRUT,CASC,
TFHD,GMET,LCAN,KSTA,CWDY,OREM,MBRO,CUTE,PLOC,
CDOY,XCOS,ANOR,AKIL,CBKE,CSOL,NKIN,CLIT,WDDG,
FOCH,CCOL,TCLA,XDAT,CDEM,WCRA,CSLA,ACNL,CPAR,
AKAK,WBOY,XRES,MDEE,CFAN,NBFT,CMCB,MSUN,ABEV,
CHAS,CCMO,CMOC,MGRL,CJUA,VFVA,GDYA,CFEN,CBNN,
VWOO,OWIC,TPAI,CBSP,WESC,NLLK,CBPI,MMVW,BRYC,
ASAL,AMAN,OCRO,CVAL,SLON,ACOL,BEAR,JBLU,CCUY,
CLAR,ANUN,XBUR,CBRT,OEVA,JENS,OTIL,SWEI,ASCA,
CHTF,CMLM,OKEL,WTOM,WFAL,AROU,NCRE,GMOO,IHOO,
BLAC,HPTW,AOKL,CELP,CPCY,CATT,AUMI,ABNT,MSHE,
OCHI,WSAD,MBOT,OCOL,CYUR,WGUE,ISPA,GBYR,AANG,
NBRP,IBNR,MANN,MCON,MRED,TPAL,CHAN,AEMP,INEA,
ABUC,ADEV,THMB,WHYA,MFOU,NFIS,IAN1,MMLO,MRBY,
CARR,WLAD,MSPO,GMCI,VSTO,ISCO,CBRE,CHBG,MSLV,
OEMI,CHGL,YEAS,CDOG,CBLQ,FSUM,AGEO,FNKD,MPAR,
TKYL,FLKG,MJET,WWTM,CDEE,NWAM,NFIN,WSPC,XBEA,
NRUB,WSND,TMIL,AWEI,MCAR,GBRA,CTEP,MFSH,HKAL,
WEAG,NIPS,CWHS,ACSG,HPKE,WJIM,IFLE,TCOK,CDEA,
MDEB,WBCR,OGEL,ACHE,WBAR,JOES,ISLA,OGOO,HPUW,
CCMT,NTIM,NHIG,PMOR,SELK,CSFD,OPO2,MWAH,CREF,
CELM,NMRN,CYOL,WSNO,ALYN,CTWI,ULAK,CCAR,OILL,
CDRG,CFHL,AHOD,TSBN,IPCR,MPOL,MBOG,CLPA,NDBR,
CBLD,OCAI,ARUC,VWRF,AMOS,WMRB,OWLL,CTDN,AAHA,
CSMR,CF31,SWTP,MHUN,MGAT,VBEE,FSTW,SIGN,NTUS,
AKAI,CLCR,OQUA,NELI,ORED,THEB,IBON,MDON,XMAY,
CBGR,CDOW,MFRE,ACAN,GCAM,ALNE,GMCR,MBRD,NNWB,
CMAL,NSAR,MLAB,OTEP,WCOW,OCOD,CMIL,GCHS,ATLA,
ASES,XMOG,MENN,NTYL,NSCK,AKAL,NTUR,TLAY,MSUL,
MBRA,TGUR,KBSN,UWIL,ATAH,MCUT,ROSE,FTAL,UOSP,
CPKR,WDOU,TBIR,IPOB,CBAT,ACBL,CBMO,MWAU,ACHM,
CPLA,WHUC,CSRS,AFPK,CMTH,IARC,ACCR,YWAN,CRSP,
ABER,PRIE,HWHT,OMTY,CBIP,MCLI,TSMW,ASTH,NDSS,
CLSK,OTTE,SSFS,OJOR,CRIC,OHEH,CHOL,MKEN,SDUR,
ACOV,AGOL,SSAT,ABEN,OYEL,CCAM,AHLM,MRDS,OFOS,
HOAH,CREA,AKLA,OCO2,NDOU,CTAY,OCAB,CGSP,MBEN,
MPIN,OCHR,MSKB,CASM,ASIL,ATRP,IRRP,NJCY,MEKK,
ATEL,NBAC,CRAV,CMSJ,URSP,CRAM,NLON,NORW,CVAY,
CRCH,ATAG,NDRO,MYAL,VKEA,CCRT,TMRL,WLTP,KKOO,
WANT,CCHB,NJCL,HMRG,THAM,CGOR,AWLR,VCON,GCOO,
WBRK,MSTR,ARED,TCHC,CBEU,AINN,CSLP,MLIS,CJHL,
TBFX,MPOI,MHOT,OSPA,MRIC,NCOI,XWAS,CROD,ASIS,
TDRI,MSEA,ORID,YLPL,XMAL,CGA2,FTOP,NANT,MLTT,
MTUC,TLOS,CPIL,OWAN,MOXB,HKPD,MMOR,CBIH,ANIN,
NHAM,CCLC,AALP,OWAR,AHOM,NPOC,CTAL,CCAN,PGAR,
MMNV,OKIA,HEWI,LVER,UBTC,YBOL,GWAY,TRCK,JTEE,
HKAU,CGAV,XJEM,GOCO,ACHL,XDRI,MRCA,YALB,ABRO,
CLEO,OLOG,WAUG,AIMY,CPNY,XPEL,WWLC,MGRE,CALD,
LCAT,WORR,MNMA,MFIE,MHOL,YUSM,AFAR,CMRK,SMAG,
CALP,NYUC,MHLL,CFAW,GMID,AFOU,CSDD,TLIN,CDUT,
FSUW,OBRU,VNUL,FWIL,CFIG,CSPQ,CCLK,ITRA,CLHO,
MRON,WCA4,MMCF,CCRP,OGRN,CNUC,MPOW,ACOT,OFOR,
NSHY,COTA,GDAW,UCRC,APRO,TRAT,CWOF,CWAR,TWOO,
OZIM,CLAS,PKIN,MPRY,WGAN,CCPT,MFIS,CPIH,APFA,
CFVC,OMOO,NROC,OOWY,ZIOC,WDEE,OSTR,PBEA,WLOS,
CSCI,GSTA,ABRB,OTUM,ACHA,CWOL,ACAK,XMON,ILOE,
UTIK,TPAN,XCOY,NLIT,CEEC,CAPT,HP17,NVAL,WSPR,
PTUM,ATEB,IWAG,COKN,NWAY,TCED,POLD,ATON,AKAV,
KSOM,MCOP,CHOO,MZON,AONE,WJOH,CPEP,WMID,HKHK,
NCAT,CDPA,AQTZ,CJOH,CMCH,OBUS,MKIN,OCHY,MPLN,
OMET,CRUS,ALOS,XSLK,MMED,CKYR,AGAT,AMAY,OREB,
WSNI,LAVA,YBEL,UGRC,MWAK,TBIB,CBOL,NHOF,CPAN,
CAPP,CDCB,CLOG,IBWF,IAN2,ALIM,IDES,GGLI,HPAL,
CPNR,NJUN,CSQU,ITPL,CVND,CPLH,KPOT,PLGV,MCDV,
CSJK,ITEA,IPCN,CHAW,LBBR,OBLU,CCOH,PTHO,GCOH,
SSAV,WTEP,XSAA,TCLM,XCHU,MRLK,PCAB,CRCC,ABCA,
TCAM,MTUP,NGUI,CKNW,ANEV,WBEA,GPLA,CWPK,MUDS,
CUND,HKPR,TCOL,AKAN,TBRA,CLDK,APOO,MEFF,VASH,
OTIM,WGRE,MSTW,MHBR,VGDR,CGRE,CPIE,CBCN,AMRI,
CBML,APAR,GCHA,KING,OCAN,CMOH,NBES,WMIN,JRIN,
WENG,OANT,CMEA,FLKW,TMAA,IDER,OFIN,MORR,TWOL,
CJAR,CVAN,MHHS,XBLM,APAM,MIND,MGRB,AGOA,HWVA,
CLST,TANA,CFRA,TCOV,MDPC,PCOF,PDOL,XLUN,OBAD,
ISBB,COKG,AHAY,IMOO,CRDS,NARR,CMES,CCLV,CBR4,
WRCH,PBKN,CSHI,MRSC,WBUH,NMOU,VPIP,AKEL,CHAY,
IGRL,ICBO,ILIT,WSED,WOHA,CPUL,MALG,MTHO,CMSG,
CFOR,MZOR,CEEL,AGUT,ORYE,YAMP,CMTR,CLYC,AKOY,
HSFB,WFOR,IKEL,CJAC,TDOG,CSAD,OJRI,CEDM,BIGI,
APAY,CMIS,TARN,ABRI,NCAS,INOR,MSAW,CGRS,YSCH,
CSMP,CRNP,CEAG,MCAP,CMIO,NSIA,KPEA,TMCF,ATHO,
OSQU,TGRF,MBIG,SCAR,HORS,NDUK,OMAU,CSOD,AGRB,
MCRZ,VFLW,MHOR,WFLO,TMAT,HKAH,MBLC,CCLA,ASAK,
MHRV,ASDH,CLAY,ICRY,IGAS,NDAV,FRAC,MBUD,FAVO,
NRCK,CBOO,CDEX,ASEV,IMOD,ITWI,VELM,CSBG,LOST,
IISP,WAND,ADRY,CROU,TCAD,KFLH,FAVN,AHEL,PCOT,
