OBJECTID,elevation
94463,1707.0
94466,179.0
94512,1910.0
94592,1034.0
94636,173.0
94663,213.0
94676,26.0
94680,1915.0
94681,172.0
94696,2381.0
94706,97.0
94724,87.0
94740,101.0
94746,95.0
94748,90.0
94753,88.0
94790,339.0
94799,413.0
94817,1176.0
94856,604.0
94861,28.0
94884,128.0
94895,648.0
94927,98.0
94928,111.0
94939,129.0
94955,79.0
94970,65.0
95005,66.0
95022,2445.0
95025,118.0
95028,116.0
95035,109.0
95044,459.0
95045,757.0
95047,1774.0
95080,1780.0
95102,1442.0
95107,1351.0
95112,123.0
95126,472.0
95138,606.0
95150,87.0
95200,1954.0
95206,1809.0
95222,1916.0
95233,1795.0
95239,524.0
95272,100.0
95286,2209.0
95302,1870.0
95365,146.0
95368,117.0
95392,1190.0
95395,82.0
95406,101.0
95408,2233.0
95419,1495.0
95447,68.0
95531,255.0
95532,114.0
95537,659.0
95544,1255.0
95556,158.0
95581,630.0
95601,539.0
95627,126.0
95632,305.0
95642,556.0
95649,1029.0
95654,152.0
95662,445.0
95667,948.0
95678,358.0
95708,72.0
95735,798.0
95736,353.0
95752,103.0
95755,994.0
95761,794.0
95766,949.0
95778,1508.0
95779,82.0
95802,337.0
95833,1767.0
95851,105.0
95872,104.0
95917,62.0
95926,1719.0
95937,95.0
95953,77.0
95987,67.0
95992,117.0
96020,69.0
96041,287.0
96061,259.0
96077,80.0
96104,51.0
96120,60.0
96142,476.0
96199,135.0
96217,115.0
96221,2888.0
96257,85.0
96275,2611.0
96326,557.0
96329,43.0
96337,145.0
96339,550.0
96392,105.0
96432,116.0
96443,506.0
96445,1633.0
96461,123.0
96485,291.0
96517,1737.0
96521,1561.0
96537,366.0
96564,16.0
96568,135.0
96572,138.0
96578,301.0
96630,1590.0
96676,834.0
96681,165.0
96691,448.0
96732,436.0
96779,1398.0
96845,102.0
96851,438.0
96902,1936.0
96917,1549.0
96972,1617.0
96980,96.0
97005,113.0
97009,1016.0
97022,845.0
97026,1459.0
97054,2158.0
97094,665.0
97110,482.0
97113,89.0
97121,153.0
97129,322.0
97138,203.0
97145,213.0
97146,130.0
97164,1215.0
97167,1337.0
97171,111.0
97174,398.0
97183,189.0
97187,76.0
97189,97.0
97202,44.0
97204,373.0
97224,504.0
97227,90.0
97247,258.0
97248,248.0
97251,125.0
97256,151.0
97275,1423.0
97290,144.0
97366,297.0
97438,2820.0
97461,1391.0
97502,1794.0
97516,200.0
97530,272.0
97558,65.0
97571,56.0
97587,125.0
97603,7.0
97613,121.0
97648,115.0
97649,640.0
97669,4.0
97719,1797.0
97767,397.0
97774,90.0
97776,884.0
97820,100.0
97841,127.0
97846,1487.0
97848,2392.0
97849,2697.0
97852,262.0
97854,1091.0
97906,318.0
97929,1891.0
97930,115.0
97932,1792.0
97945,819.0
97976,46.0
98008,820.0
98013,136.0
98037,137.0
98049,100.0
98084,133.0
98087,694.0
98090,125.0
98098,88.0
98102,90.0
98124,41.0
98137,140.0
98139,2049.0
98159,1585.0
98236,1126.0
98293,64.0
98316,1167.0
98324,123.0
98339,111.0
98367,98.0
98408,248.0
98433,452.0
98434,1012.0
98439,32.0
98465,154.0
98468,401.0
98498,1698.0
98502,780.0
98517,1419.0
98526,410.0
98528,94.0
98580,1042.0
98596,111.0
98604,162.0
98612,115.0
98656,2366.0
98664,850.0
